#UbUs_1-2023-06-21-Wed-18-35-14.hdf5 sztau_sz0
#iter    ineq        tausus          value 
stat-001    1             0         0.8506 
stat-001    1          0.03       0.843733 
stat-001    1          0.06       0.837083 
stat-001    1          0.09       0.830635 
stat-001    1          0.12       0.824381 
stat-001    1          0.15       0.818311 
stat-001    1          0.18       0.812416 
stat-001    1          0.21       0.806685 
stat-001    1          0.24       0.801112 
stat-001    1          0.27       0.795687 
stat-001    1           0.3       0.790404 
stat-001    1          0.33       0.785254 
stat-001    1          0.36       0.780232 
stat-001    1          0.39       0.775333 
stat-001    1          0.42       0.770552 
stat-001    1          0.45       0.765882 
stat-001    1          0.48       0.761319 
stat-001    1          0.51       0.756857 
stat-001    1          0.54       0.752492 
stat-001    1          0.57       0.748218 
stat-001    1           0.6       0.744036 
stat-001    1          0.63       0.739938 
stat-001    1          0.66       0.735923 
stat-001    1          0.69       0.731986 
stat-001    1          0.72       0.728123 
stat-001    1          0.75       0.724333 
stat-001    1          0.78       0.720611 
stat-001    1          0.81       0.716956 
stat-001    1          0.84       0.713365 
stat-001    1          0.87       0.709838 
stat-001    1           0.9       0.706372 
stat-001    1          0.93       0.702963 
stat-001    1          0.96        0.69961 
stat-001    1          0.99       0.696311 
stat-001    1          1.02       0.693065 
stat-001    1          1.05       0.689869 
stat-001    1          1.08       0.686721 
stat-001    1          1.11        0.68362 
stat-001    1          1.14       0.680563 
stat-001    1          1.17       0.677552 
stat-001    1           1.2       0.674583 
stat-001    1          1.23       0.671656 
stat-001    1          1.26       0.668768 
stat-001    1          1.29       0.665919 
stat-001    1          1.32       0.663107 
stat-001    1          1.35       0.660332 
stat-001    1          1.38       0.657593 
stat-001    1          1.41        0.65489 
stat-001    1          1.44       0.652222 
stat-001    1          1.47       0.649587 
stat-001    1           1.5       0.646985 
stat-001    1          1.53       0.644414 
stat-001    1          1.56       0.641875 
stat-001    1          1.59       0.639367 
stat-001    1          1.62       0.636887 
stat-001    1          1.65       0.634437 
stat-001    1          1.68       0.632013 
stat-001    1          1.71       0.629618 
stat-001    1          1.74       0.627249 
stat-001    1          1.77       0.624907 
stat-001    1           1.8        0.62259 
stat-001    1          1.83       0.620297 
stat-001    1          1.86       0.618029 
stat-001    1          1.89       0.615784 
stat-001    1          1.92       0.613562 
stat-001    1          1.95       0.611362 
stat-001    1          1.98       0.609184 
stat-001    1          2.01       0.607027 
stat-001    1          2.04       0.604892 
stat-001    1          2.07       0.602779 
stat-001    1           2.1       0.600686 
stat-001    1          2.13       0.598613 
stat-001    1          2.16        0.59656 
stat-001    1          2.19       0.594528 
stat-001    1          2.22       0.592514 
stat-001    1          2.25       0.590519 
stat-001    1          2.28       0.588542 
stat-001    1          2.31       0.586583 
stat-001    1          2.34       0.584641 
stat-001    1          2.37       0.582717 
stat-001    1           2.4       0.580811 
stat-001    1          2.43       0.578922 
stat-001    1          2.46        0.57705 
stat-001    1          2.49       0.575194 
stat-001    1          2.52       0.573354 
stat-001    1          2.55       0.571531 
stat-001    1          2.58       0.569723 
stat-001    1          2.61       0.567931 
stat-001    1          2.64       0.566154 
stat-001    1          2.67       0.564393 
stat-001    1           2.7       0.562646 
stat-001    1          2.73       0.560914 
stat-001    1          2.76       0.559195 
stat-001    1          2.79        0.55749 
stat-001    1          2.82       0.555799 
stat-001    1          2.85       0.554122 
stat-001    1          2.88       0.552459 
stat-001    1          2.91       0.550808 
stat-001    1          2.94        0.54917 
stat-001    1          2.97       0.547545 
stat-001    1             3       0.545932 
stat-001    1          3.03       0.544332 
stat-001    1          3.06       0.542745 
stat-001    1          3.09        0.54117 
stat-001    1          3.12       0.539607 
stat-001    1          3.15       0.538057 
stat-001    1          3.18       0.536518 
stat-001    1          3.21       0.534992 
stat-001    1          3.24       0.533478 
stat-001    1          3.27       0.531975 
stat-001    1           3.3       0.530483 
stat-001    1          3.33          0.529 
stat-001    1          3.36       0.527529 
stat-001    1          3.39       0.526068 
stat-001    1          3.42       0.524617 
stat-001    1          3.45       0.523176 
stat-001    1          3.48       0.521745 
stat-001    1          3.51       0.520324 
stat-001    1          3.54       0.518912 
stat-001    1          3.57       0.517513 
stat-001    1           3.6       0.516124 
stat-001    1          3.63       0.514746 
stat-001    1          3.66       0.513378 
stat-001    1          3.69        0.51202 
stat-001    1          3.72       0.510672 
stat-001    1          3.75       0.509335 
stat-001    1          3.78       0.508008 
stat-001    1          3.81        0.50669 
stat-001    1          3.84       0.505382 
stat-001    1          3.87       0.504083 
stat-001    1           3.9       0.502792 
stat-001    1          3.93        0.50151 
stat-001    1          3.96       0.500237 
stat-001    1          3.99       0.498974 
stat-001    1          4.02       0.497719 
stat-001    1          4.05       0.496474 
stat-001    1          4.08       0.495236 
stat-001    1          4.11       0.494008 
stat-001    1          4.14       0.492787 
stat-001    1          4.17       0.491576 
stat-001    1           4.2       0.490373 
stat-001    1          4.23       0.489178 
stat-001    1          4.26        0.48799 
stat-001    1          4.29        0.48681 
stat-001    1          4.32       0.485638 
stat-001    1          4.35       0.484473 
stat-001    1          4.38       0.483318 
stat-001    1          4.41       0.482169 
stat-001    1          4.44       0.481029 
stat-001    1          4.47       0.479897 
stat-001    1           4.5       0.478772 
stat-001    1          4.53       0.477655 
stat-001    1          4.56       0.476545 
stat-001    1          4.59       0.475443 
stat-001    1          4.62       0.474349 
stat-001    1          4.65       0.473262 
stat-001    1          4.68       0.472181 
stat-001    1          4.71       0.471108 
stat-001    1          4.74        0.47004 
stat-001    1          4.77       0.468981 
stat-001    1           4.8       0.467929 
stat-001    1          4.83       0.466883 
stat-001    1          4.86       0.465845 
stat-001    1          4.89       0.464815 
stat-001    1          4.92       0.463792 
stat-001    1          4.95       0.462774 
stat-001    1          4.98       0.461765 
stat-001    1          5.01       0.460762 
stat-001    1          5.04       0.459766 
stat-001    1          5.07       0.458776 
stat-001    1           5.1       0.457793 
stat-001    1          5.13       0.456815 
stat-001    1          5.16       0.455845 
stat-001    1          5.19        0.45488 
stat-001    1          5.22       0.453921 
stat-001    1          5.25       0.452968 
stat-001    1          5.28       0.452022 
stat-001    1          5.31       0.451081 
stat-001    1          5.34       0.450145 
stat-001    1          5.37       0.449216 
stat-001    1           5.4       0.448293 
stat-001    1          5.43       0.447375 
stat-001    1          5.46       0.446463 
stat-001    1          5.49       0.445557 
stat-001    1          5.52       0.444655 
stat-001    1          5.55        0.44376 
stat-001    1          5.58       0.442869 
stat-001    1          5.61       0.441985 
stat-001    1          5.64       0.441106 
stat-001    1          5.67       0.440233 
stat-001    1           5.7       0.439365 
stat-001    1          5.73       0.438501 
stat-001    1          5.76       0.437643 
stat-001    1          5.79        0.43679 
stat-001    1          5.82       0.435943 
stat-001    1          5.85       0.435101 
stat-001    1          5.88       0.434265 
