#UbUs_1-2023-06-21-Wed-21-47-18.hdf5 sztau_sz0
#iter    ineq        tausus          value 
stat-001    1          5.52      0.0835712 
stat-001    1          5.55      0.0830329 
stat-001    1          5.58      0.0825003 
stat-001    1          5.61      0.0819741 
stat-001    1          5.64      0.0814531 
stat-001    1          5.67      0.0809377 
stat-001    1           5.7      0.0804276 
stat-001    1          5.73      0.0799212 
stat-001    1          5.76       0.079419 
stat-001    1          5.79      0.0789228 
stat-001    1          5.82      0.0784341 
stat-001    1          5.85      0.0779514 
stat-001    1          5.88      0.0774755 
stat-001    1          5.91      0.0770051 
stat-001    1          5.94      0.0765397 
stat-001    1          5.97      0.0760797 
stat-001    1             6      0.0756229 
stat-001    1          6.03      0.0751709 
stat-001    1          6.06      0.0747231 
stat-001    1          6.09      0.0742778 
stat-001    1          6.12      0.0738382 
stat-001    1          6.15      0.0734027 
stat-001    1          6.18      0.0729729 
stat-001    1          6.21      0.0725468 
stat-001    1          6.24      0.0721259 
stat-001    1          6.27      0.0717123 
stat-001    1           6.3      0.0713037 
stat-001    1          6.33      0.0708988 
stat-001    1          6.36      0.0704993 
stat-001    1          6.39      0.0701042 
stat-001    1          6.42       0.069713 
stat-001    1          6.45      0.0693276 
stat-001    1          6.48      0.0689462 
stat-001    1          6.51      0.0685686 
stat-001    1          6.54      0.0681939 
stat-001    1          6.57      0.0678243 
stat-001    1           6.6      0.0674581 
stat-001    1          6.63      0.0670944 
stat-001    1          6.66      0.0667334 
stat-001    1          6.69      0.0663774 
stat-001    1          6.72      0.0660246 
stat-001    1          6.75      0.0656762 
stat-001    1          6.78      0.0653314 
stat-001    1          6.81      0.0649903 
stat-001    1          6.84      0.0646529 
stat-001    1          6.87      0.0643196 
stat-001    1           6.9      0.0639877 
stat-001    1          6.93      0.0636599 
stat-001    1          6.96      0.0633356 
stat-001    1          6.99       0.063016 
stat-001    1          7.02      0.0626999 
stat-001    1          7.05      0.0623879 
stat-001    1          7.08      0.0620788 
stat-001    1          7.11      0.0617733 
stat-001    1          7.14      0.0614725 
stat-001    1          7.17      0.0611739 
stat-001    1           7.2      0.0608794 
stat-001    1          7.23      0.0605877 
stat-001    1          7.26      0.0602995 
stat-001    1          7.29      0.0600143 
stat-001    1          7.32      0.0597329 
stat-001    1          7.35      0.0594533 
stat-001    1          7.38      0.0591768 
stat-001    1          7.41      0.0589037 
stat-001    1          7.44      0.0586341 
stat-001    1          7.47      0.0583663 
stat-001    1           7.5      0.0581028 
stat-001    1          7.53      0.0578415 
stat-001    1          7.56      0.0575821 
stat-001    1          7.59      0.0573258 
stat-001    1          7.62       0.057071 
stat-001    1          7.65       0.056819 
stat-001    1          7.68      0.0565684 
stat-001    1          7.71      0.0563203 
stat-001    1          7.74      0.0560732 
stat-001    1          7.77      0.0558279 
stat-001    1           7.8      0.0555859 
stat-001    1          7.83      0.0553456 
stat-001    1          7.86      0.0551082 
stat-001    1          7.89      0.0548747 
stat-001    1          7.92       0.054643 
stat-001    1          7.95      0.0544144 
stat-001    1          7.98      0.0541873 
stat-001    1          8.01      0.0539612 
stat-001    1          8.04      0.0537366 
stat-001    1          8.07      0.0535149 
stat-001    1           8.1      0.0532933 
stat-001    1          8.13      0.0530742 
stat-001    1          8.16      0.0528566 
stat-001    1          8.19      0.0526393 
stat-001    1          8.22      0.0524229 
stat-001    1          8.25      0.0522063 
stat-001    1          8.28      0.0519928 
stat-001    1          8.31       0.051781 
stat-001    1          8.34      0.0515711 
stat-001    1          8.37      0.0513629 
stat-001    1           8.4      0.0511565 
stat-001    1          8.43      0.0509514 
stat-001    1          8.46      0.0507473 
stat-001    1          8.49      0.0505456 
stat-001    1          8.52      0.0503451 
stat-001    1          8.55      0.0501472 
stat-001    1          8.58      0.0499512 
stat-001    1          8.61      0.0497573 
stat-001    1          8.64      0.0495642 
stat-001    1          8.67      0.0493745 
stat-001    1           8.7      0.0491853 
stat-001    1          8.73       0.048998 
stat-001    1          8.76      0.0488127 
stat-001    1          8.79      0.0486277 
stat-001    1          8.82      0.0484442 
stat-001    1          8.85       0.048264 
stat-001    1          8.88      0.0480877 
stat-001    1          8.91      0.0479128 
stat-001    1          8.94      0.0477403 
stat-001    1          8.97       0.047571 
stat-001    1             9      0.0474029 
stat-001    1          9.03      0.0472354 
stat-001    1          9.06       0.047069 
stat-001    1          9.09      0.0469034 
stat-001    1          9.12      0.0467408 
stat-001    1          9.15      0.0465797 
stat-001    1          9.18      0.0464182 
stat-001    1          9.21       0.046259 
stat-001    1          9.24       0.046101 
stat-001    1          9.27      0.0459432 
stat-001    1           9.3      0.0457875 
stat-001    1          9.33      0.0456317 
stat-001    1          9.36      0.0454775 
stat-001    1          9.39      0.0453236 
stat-001    1          9.42      0.0451717 
stat-001    1          9.45      0.0450206 
stat-001    1          9.48      0.0448719 
stat-001    1          9.51      0.0447233 
stat-001    1          9.54      0.0445781 
