#UbUs_1-2023-06-29-Thu-14-53-18.hdf5 ntau-n0
#iter    ineq band1 spin1 band2 spin2        tausus          value         error 
stat-001    1     1     1     1     1             0       0.499987   0.000121971 
stat-001    1     1     1     1     1           0.4       0.432414   0.000127998 
stat-001    1     1     1     1     1           0.8       0.399105   0.000136305 
stat-001    1     1     1     1     1           1.2       0.377675   0.000142277 
stat-001    1     1     1     1     1           1.6       0.361797   0.000155263 
stat-001    1     1     1     1     1             2       0.349173   0.000172011 
stat-001    1     1     1     1     1           2.4       0.338752   0.000192655 
stat-001    1     1     1     1     1           2.8       0.329971   0.000211097 
stat-001    1     1     1     1     1           3.2       0.322438    0.00022455 
stat-001    1     1     1     1     1           3.6       0.315932   0.000231964 
stat-001    1     1     1     1     1             4        0.31026   0.000241001 
stat-001    1     1     1     1     1           4.4       0.305266   0.000254021 
stat-001    1     1     1     1     1           4.8       0.300856   0.000259753 
stat-001    1     1     1     1     1           5.2       0.296968   0.000257537 
stat-001    1     1     1     1     1           5.6       0.293487   0.000257994 
stat-001    1     1     1     1     1             6       0.290383   0.000267019 
stat-001    1     1     1     1     1           6.4       0.287603   0.000281654 
stat-001    1     1     1     1     1           6.8        0.28509   0.000297641 
stat-001    1     1     1     1     1           7.2       0.282803   0.000311772 
stat-001    1     1     1     1     1           7.6       0.280736   0.000312779 
stat-001    1     1     1     1     1             8       0.278881   0.000319219 
stat-001    1     1     1     1     1           8.4       0.277164   0.000326263 
stat-001    1     1     1     1     1           8.8       0.275603   0.000337631 
stat-001    1     1     1     1     1           9.2        0.27419   0.000342375 
stat-001    1     1     1     1     1           9.6       0.272871   0.000346284 
stat-001    1     1     1     1     1            10       0.271676   0.000349254 
stat-001    1     1     1     1     1          10.4       0.270576   0.000355299 
stat-001    1     1     1     1     1          10.8       0.269531   0.000363419 
stat-001    1     1     1     1     1          11.2       0.268567   0.000366915 
stat-001    1     1     1     1     1          11.6       0.267677   0.000381018 
stat-001    1     1     1     1     1            12       0.266868   0.000389957 
stat-001    1     1     1     1     1          12.4       0.266109   0.000404837 
stat-001    1     1     1     1     1          12.8       0.265415    0.00041492 
stat-001    1     1     1     1     1          13.2       0.264777   0.000427708 
stat-001    1     1     1     1     1          13.6       0.264127   0.000429522 
stat-001    1     1     1     1     1            14       0.263529   0.000436811 
stat-001    1     1     1     1     1          14.4       0.262947   0.000443396 
stat-001    1     1     1     1     1          14.8        0.26242   0.000436281 
stat-001    1     1     1     1     1          15.2       0.261936    0.00043411 
stat-001    1     1     1     1     1          15.6       0.261498   0.000421943 
stat-001    1     1     1     1     1            16        0.26106   0.000408161 
stat-001    1     1     1     1     1          16.4        0.26067   0.000399739 
stat-001    1     1     1     1     1          16.8       0.260288   0.000383942 
stat-001    1     1     1     1     1          17.2       0.259911   0.000376578 
stat-001    1     1     1     1     1          17.6       0.259601    0.00036586 
stat-001    1     1     1     1     1            18       0.259283   0.000348308 
stat-001    1     1     1     1     1          18.4       0.258974   0.000340957 
stat-001    1     1     1     1     1          18.8        0.25865   0.000341056 
stat-001    1     1     1     1     1          19.2       0.258381   0.000331807 
