#UbUs_1-2023-06-21-Wed-19-14-57.hdf5 sztau_sz0
#iter    ineq        tausus          value 
stat-001    1          5.55       0.242813 
stat-001    1          5.58       0.241902 
stat-001    1          5.61       0.240998 
stat-001    1          5.64       0.240101 
stat-001    1          5.67        0.23921 
stat-001    1           5.7       0.238327 
stat-001    1          5.73       0.237451 
stat-001    1          5.76       0.236582 
stat-001    1          5.79       0.235719 
stat-001    1          5.82       0.234863 
stat-001    1          5.85       0.234013 
stat-001    1          5.88       0.233168 
stat-001    1          5.91        0.23233 
stat-001    1          5.94       0.231499 
stat-001    1          5.97       0.230673 
stat-001    1             6       0.229854 
stat-001    1          6.03       0.229042 
stat-001    1          6.06       0.228236 
stat-001    1          6.09       0.227437 
stat-001    1          6.12       0.226645 
stat-001    1          6.15       0.225858 
stat-001    1          6.18       0.225078 
stat-001    1          6.21       0.224304 
stat-001    1          6.24       0.223538 
stat-001    1          6.27       0.222777 
stat-001    1           6.3       0.222021 
stat-001    1          6.33        0.22127 
stat-001    1          6.36       0.220526 
stat-001    1          6.39       0.219786 
stat-001    1          6.42       0.219052 
stat-001    1          6.45       0.218322 
stat-001    1          6.48         0.2176 
stat-001    1          6.51       0.216883 
stat-001    1          6.54       0.216173 
stat-001    1          6.57       0.215469 
stat-001    1           6.6        0.21477 
stat-001    1          6.63       0.214076 
stat-001    1          6.66       0.213388 
stat-001    1          6.69       0.212705 
stat-001    1          6.72       0.212027 
stat-001    1          6.75       0.211355 
stat-001    1          6.78       0.210689 
stat-001    1          6.81        0.21003 
stat-001    1          6.84       0.209377 
stat-001    1          6.87        0.20873 
stat-001    1           6.9       0.208088 
stat-001    1          6.93        0.20745 
stat-001    1          6.96       0.206818 
stat-001    1          6.99        0.20619 
stat-001    1          7.02       0.205567 
stat-001    1          7.05       0.204948 
stat-001    1          7.08       0.204335 
stat-001    1          7.11       0.203725 
stat-001    1          7.14       0.203118 
stat-001    1          7.17       0.202516 
stat-001    1           7.2       0.201918 
stat-001    1          7.23       0.201325 
stat-001    1          7.26       0.200735 
stat-001    1          7.29       0.200148 
stat-001    1          7.32       0.199566 
stat-001    1          7.35       0.198988 
stat-001    1          7.38       0.198414 
stat-001    1          7.41       0.197843 
stat-001    1          7.44       0.197276 
stat-001    1          7.47       0.196715 
stat-001    1           7.5       0.196159 
stat-001    1          7.53       0.195607 
stat-001    1          7.56       0.195059 
stat-001    1          7.59       0.194515 
stat-001    1          7.62       0.193973 
stat-001    1          7.65       0.193438 
stat-001    1          7.68       0.192906 
stat-001    1          7.71        0.19238 
stat-001    1          7.74       0.191856 
stat-001    1          7.77       0.191336 
stat-001    1           7.8        0.19082 
stat-001    1          7.83       0.190307 
stat-001    1          7.86       0.189798 
stat-001    1          7.89       0.189293 
stat-001    1          7.92       0.188791 
stat-001    1          7.95       0.188294 
stat-001    1          7.98       0.187801 
stat-001    1          8.01       0.187311 
stat-001    1          8.04       0.186826 
stat-001    1          8.07       0.186343 
stat-001    1           8.1       0.185864 
stat-001    1          8.13       0.185388 
stat-001    1          8.16       0.184916 
stat-001    1          8.19       0.184448 
stat-001    1          8.22       0.183984 
stat-001    1          8.25       0.183524 
stat-001    1          8.28       0.183068 
stat-001    1          8.31       0.182616 
stat-001    1          8.34       0.182167 
stat-001    1          8.37       0.181722 
stat-001    1           8.4       0.181281 
stat-001    1          8.43       0.180842 
stat-001    1          8.46       0.180408 
stat-001    1          8.49       0.179976 
stat-001    1          8.52       0.179548 
stat-001    1          8.55       0.179123 
stat-001    1          8.58       0.178701 
stat-001    1          8.61       0.178282 
stat-001    1          8.64       0.177867 
stat-001    1          8.67       0.177454 
stat-001    1           8.7       0.177045 
stat-001    1          8.73       0.176639 
stat-001    1          8.76       0.176235 
stat-001    1          8.79       0.175836 
stat-001    1          8.82        0.17544 
stat-001    1          8.85       0.175048 
stat-001    1          8.88        0.17466 
stat-001    1          8.91       0.174275 
stat-001    1          8.94       0.173893 
stat-001    1          8.97       0.173514 
stat-001    1             9       0.173137 
stat-001    1          9.03       0.172765 
stat-001    1          9.06       0.172396 
stat-001    1          9.09       0.172029 
stat-001    1          9.12       0.171666 
stat-001    1          9.15       0.171306 
stat-001    1          9.18       0.170949 
stat-001    1          9.21       0.170593 
stat-001    1          9.24       0.170239 
stat-001    1          9.27       0.169889 
stat-001    1           9.3        0.16954 
stat-001    1          9.33       0.169195 
stat-001    1          9.36       0.168851 
stat-001    1          9.39        0.16851 
stat-001    1          9.42       0.168172 
stat-001    1          9.45       0.167839 
stat-001    1          9.48       0.167507 
stat-001    1          9.51       0.167179 
stat-001    1          9.54       0.166854 
stat-001    1          9.57       0.166529 
stat-001    1           9.6       0.166207 
stat-001    1          9.63       0.165888 
stat-001    1          9.66       0.165572 
stat-001    1          9.69       0.165258 
stat-001    1          9.72       0.164946 
stat-001    1          9.75       0.164637 
stat-001    1          9.78       0.164331 
stat-001    1          9.81       0.164026 
stat-001    1          9.84       0.163724 
stat-001    1          9.87       0.163424 
stat-001    1           9.9       0.163126 
stat-001    1          9.93       0.162831 
stat-001    1          9.96       0.162539 
stat-001    1          9.99       0.162249 
stat-001    1         10.02       0.161963 
stat-001    1         10.05       0.161678 
stat-001    1         10.08       0.161395 
stat-001    1         10.11       0.161115 
stat-001    1         10.14       0.160837 
stat-001    1         10.17       0.160561 
stat-001    1          10.2       0.160287 
stat-001    1         10.23       0.160015 
stat-001    1         10.26       0.159747 
stat-001    1         10.29       0.159481 
stat-001    1         10.32       0.159216 
stat-001    1         10.35       0.158952 
stat-001    1         10.38       0.158691 
stat-001    1         10.41       0.158432 
stat-001    1         10.44       0.158175 
stat-001    1         10.47       0.157921 
stat-001    1          10.5       0.157669 
stat-001    1         10.53       0.157419 
stat-001    1         10.56       0.157171 
stat-001    1         10.59       0.156925 
stat-001    1         10.62       0.156681 
stat-001    1         10.65       0.156439 
stat-001    1         10.68       0.156199 
stat-001    1         10.71       0.155961 
stat-001    1         10.74       0.155724 
stat-001    1         10.77        0.15549 
stat-001    1          10.8       0.155258 
stat-001    1         10.83       0.155029 
stat-001    1         10.86       0.154803 
stat-001    1         10.89       0.154579 
stat-001    1         10.92       0.154358 
stat-001    1         10.95       0.154138 
stat-001    1         10.98       0.153921 
stat-001    1         11.01       0.153708 
stat-001    1         11.04       0.153496 
stat-001    1         11.07       0.153286 
stat-001    1          11.1       0.153077 
stat-001    1         11.13        0.15287 
stat-001    1         11.16       0.152664 
stat-001    1         11.19       0.152461 
stat-001    1         11.22        0.15226 
stat-001    1         11.25       0.152059 
stat-001    1         11.28       0.151861 
stat-001    1         11.31       0.151664 
stat-001    1         11.34       0.151469 
stat-001    1         11.37       0.151276 
stat-001    1          11.4       0.151084 
stat-001    1         11.43       0.150894 
stat-001    1         11.46       0.150705 
stat-001    1         11.49       0.150517 
stat-001    1         11.52        0.15033 
stat-001    1         11.55       0.150145 
stat-001    1         11.58       0.149962 
stat-001    1         11.61       0.149781 
stat-001    1         11.64       0.149602 
stat-001    1         11.67       0.149423 
stat-001    1          11.7       0.149247 
stat-001    1         11.73       0.149071 
stat-001    1         11.76       0.148899 
stat-001    1         11.79       0.148729 
stat-001    1         11.82        0.14856 
stat-001    1         11.85       0.148392 
stat-001    1         11.88       0.148227 
stat-001    1         11.91       0.148063 
